Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Hola muy buenos días,,chat,2026/08/14 11:30:06,
You,,"*🚘 Conductor Asignado:*
*Nombre:* Juan Carlos Montoya
*Contacto:* +57 314 6262737
*Vehiculo:* KIA SOUL
*Placa* :  ESO942	
*Color:* BLANCO",,image,2026/08/14 11:30:20,
You,,Muy buenos días 🌞,,chat,2026/08/14 11:30:37,
You,,Para la cirugía para el se George el conductor que lo va a llevar a la clínica,,chat,2026/08/14 11:31:13,
You,,[Audio/Voice],,ptt,2026/08/14 11:32:22,
You,,Me exacta la ubicación donde debe llegar el carro,,chat,2026/08/14 11:32:45,
You,,[Photo],,image,2026/08/14 11:37:39,
You,,"Ya salieron en el carro para allá, 12:50 pm esperamos que esté llegando",,chat,2026/08/14 12:27:18,
You,,Llegan en cinco minutos,,chat,2026/08/14 12:40:56,
,@alpacar29,,Hola,chat,2026/08/14 12:41:12,
You,,llegan en cinco minutos,,chat,2026/08/14 12:41:35,
,@alpacar29,,Si,chat,2026/08/14 12:41:40,
,@alpacar29,,Estoy pendientw,chat,2026/08/14 12:41:46,
You,,ya estas con ellos?,,chat,2026/08/14 12:48:22,
,@alpacar29,,Si,chat,2026/08/14 12:51:45,
,@alpacar29,,Ya estamos haciendo el ingreso para el procedimiento,chat,2026/08/14 12:52:01,
You,,Hola cómo va todo con el sr George,,chat,2026/08/14 14:06:15,
,@alpacar29,,Buenas tardes,chat,2026/08/14 14:20:40,
,@alpacar29,,Muy bien,chat,2026/08/14 14:20:43,
You,,[Audio/Voice],,ptt,2026/08/14 14:21:10,
You,,el tuvo un procedimiento de Uretrografia el viernes y para ese procedimiento fue la consulta virtualdel 11 agosto con el anestesiologo,,image,2026/08/14 14:28:08,
You,,"para la cirugía de hoy , le habian programado a la 1:30 nuevamente anestesiologo",,chat,2026/08/14 14:28:27,
You,,[Photo],,image,2026/08/14 14:29:02,
,@alpacar29,,[Audio/Voice],ptt,2026/08/14 14:31:37,
You,,gracias ya veo,,chat,2026/08/14 17:00:10,
You,,si el acompañante quiere quedarse en la clinica en ese sofa cama tiene algún costo adicional?,,chat,2026/08/14 17:01:00,
,@alpacar29,,[Audio/Voice],ptt,2026/08/14 17:02:11,
You,,"entonces entiendo que no tiene costo adicional gracias, no sabiamos que se podía quedar",,chat,2026/08/14 17:03:18,
You,,Tu estas mañana tambien para la cirugia del Sr Eduard?,,chat,2026/08/14 17:05:11,
,@alpacar29,,No señora,chat,2026/08/14 17:05:48,
,@alpacar29,,[Audio/Voice],ptt,2026/08/14 17:06:06,
You,,mañana no hay ninguna anfitriona?,,chat,2026/08/14 17:07:02,
,@alpacar29,,[Audio/Voice],ptt,2026/08/14 17:09:23,
You,,graciass,,chat,2026/08/14 17:10:35,
,@alpacar29,,Es con gusto,chat,2026/08/14 17:41:03,
