Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Hola muy buenas tardes 🌞,,chat,2026/07/29 12:53:09,
You,,Hay una señora preguntando por blanqueamiento,,chat,2026/07/29 12:53:20,
You,,[Contact] CTZ335-1-Sharella - 59996746468,,vcard,2026/07/29 12:53:29,
Alta Estética Dental,+57 311 3078677,,Hola Jenny,chat,2026/07/29 12:53:30,
Alta Estética Dental,+57 311 3078677,,Ok.   Ya la contacto.,chat,2026/07/29 12:53:45,
You,,Otra cosa queiro hacerme los dientes donde una Dra pero hace 2 dias que no contesta .. no se si me puede aydar,,chat,2026/07/29 12:54:21,
You,,[Photo],,image,2026/07/29 12:54:21,
You,,Le voy a mandar la captura de la conversacion,,chat,2026/07/29 12:54:21,
You,,[Photo],,image,2026/07/29 12:54:21,
You,,[Photo],,image,2026/07/29 12:54:21,
You,,para mi es importante el precio… porque he informadi diferente lugares y la que mande es lo mas barato que consegui,,chat,2026/07/29 12:54:21,
Alta Estética Dental,+57 311 3078677,,Ok.,chat,2026/07/29 12:54:50,
You,,Ella viaja el 4 de agosto está en Medellín,,chat,2026/07/29 12:54:51,
Alta Estética Dental,+57 311 3078677,,[Audio/Voice],ptt,2026/07/29 13:40:44,
You,,"Gracias, precio & calidad",,chat,2026/07/29 13:46:45,
Alta Estética Dental,+57 311 3078677,,[Audio/Voice],ptt,2026/07/29 13:47:28,
