Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
Bog Camilo Parada,@caparey,,[Audio/Voice],ptt,2026/07/30 09:44:52,
You,,Holaaa kmelein,,chat,2026/07/30 09:55:11,
You,,Voy a preguntar,,chat,2026/07/30 09:55:21,
Bog Camilo Parada,@caparey,,Gracias!!,chat,2026/07/30 09:56:23,
Bog Camilo Parada,@caparey,,[Audio/Voice],ptt,2026/07/30 09:57:25,
You,,[Audio/Voice],,ptt,2026/07/30 09:59:46,
Bog Camilo Parada,@caparey,,Listo.. gracias ☺️,chat,2026/07/30 11:15:13,
You,,No encontré alguien que tuviera sorry,,chat,2026/08/01 08:15:49,
You,,[Audio/Voice],,ptt,2026/08/01 08:16:34,
Bog Camilo Parada,@caparey,,"Hola Mago, buenos días.",chat,2026/08/01 09:35:13,
Bog Camilo Parada,@caparey,,Si lo debo tener pero no sé  dónde voy a buscarlo y te cuento..,chat,2026/08/01 09:35:47,
Bog Camilo Parada,@caparey,,Y  está bueno y funciona…,chat,2026/08/01 09:36:25,
You,,gracias,,chat,2026/08/01 09:36:59,
You,,[Audio/Voice],,ptt,2026/08/02 16:05:46,
Bog Camilo Parada,@caparey,,[Audio/Voice],ptt,2026/08/02 20:04:07,
Bog Camilo Parada,@caparey,,[Audio/Voice],ptt,2026/08/02 20:05:18,
Bog Camilo Parada,@caparey,,Confírmame la dirección para enviarte el disco.,chat,2026/08/03 08:35:03,
Bog Camilo Parada,@caparey,,[Photo],image,2026/08/03 08:35:20,
You,,INTERRAPIDISIMO oficina princial MOCOA Putumayo,,chat,2026/08/03 08:36:15,
You,,Jenny Paola Acosta Reyes   52.869.028   315 772 1914  Vereda Villanueva Hostal Luna LLena,,chat,2026/08/03 08:36:39,
You,,1020424990,,chat,2026/08/03 08:52:07,
You,,[Photo],,image,2026/08/03 08:52:36,
You,,[Audio/Voice],,ptt,2026/08/03 08:52:46,
You,,"Soy beneficiario, no cotizante",,chat,2026/08/03 08:52:53,
Bog Camilo Parada,@caparey,,[Audio/Voice],ptt,2026/08/03 08:59:35,
You,,Holaaa Kmo tu al fin enviaste el paquete,,chat,2026/08/10 08:23:05,
Bog Camilo Parada,@caparey,,[Photo],image,2026/08/10 16:18:42,
Bog Camilo Parada,@caparey,,[Audio/Voice],ptt,2026/08/10 16:18:53,
You,,gracias,,chat,2026/08/10 16:18:58,
