Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Hola buenas,,chat,2026/07/26 17:28:26,
You,,Para solicitar un breakfast box para mañana el sr Jesús Enmanuel,,chat,2026/07/26 17:28:50,
You,,Ellos llegan hoy en la b,,chat,2026/07/26 17:28:55,
Bog Movich Buró 26,+57 317 5693975,,"Bienvenidos al Hotel Movich Buró 26, si requiere servicio de transporte, por favor ubicarse en el primer piso en la puerta número 1 llegadas internacionales / Plata Baja .

Nuestro transporte pasa cada 30 minutos las 24 horas del día.

Welcome to the Movich Buró 26, if you require our shuttle service, you just need to go, to the First Floor, on the gate number 1. It works every 30 minutes 24/7.",chat,2026/07/26 17:31:57,
You,,Hola buenas noches,,chat,2026/07/26 20:23:51,
You,,Soy Jenny de la agencia Medical Trip Colombia,,chat,2026/07/26 20:24:01,
You,,Tengo un grupo ingresando hoy,,chat,2026/07/26 20:24:09,
You,,[This message was deleted],,revoked,2026/07/26 20:24:18,
You,,Hola el grupo ya está aterrizando,,chat,2026/07/26 22:22:33,
You,,Buenas noches,,chat,2026/07/26 22:23:08,
You,,Llegan 12 personas,,chat,2026/07/26 22:23:22,
Bog Movich Buró 26,+57 317 5693975,,"buen día, Sra. Jenny Acosta, le saludamos del hotel Movich Buro 26",chat,2026/07/28 11:02:00,
You,,Holaaa,,chat,2026/07/28 11:02:10,
Bog Movich Buró 26,+57 317 5693975,,le compartimos la información del jefe de recepción Sr. Christian Zapata; correo: christian.zapata@movichhotels.com,chat,2026/07/28 11:02:58,
You,,[Audio/Voice],,ptt,2026/07/28 11:04:11,
Bog Movich Buró 26,+57 317 5693975,,Muchas gracias por la confirmacion,chat,2026/07/28 11:06:43,
Bog Movich Buró 26,+57 317 5693975,,A el tambien le pueden realizar cualquier solicitud cuando tengamos estos grupos y poder brindarles la mejor experiencia,chat,2026/07/28 11:07:28,
You,,Gracias,,chat,2026/07/28 11:08:49,
