Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Buenas tardes,,chat,2026/08/03 13:43:13,
You,,Tambien quiciera saber donde me puedo hacer este tratamiento de endolaser,,image,2026/08/03 13:43:19,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,"¡Bienvenid@!  ✨️DRA BEAUTY ✨️Clinica de Medicina Estética y Láser by Dra Tatiana Ceballos.

Estamos ubicados en El Poblado, Medellín 🏙
Cuéntame, ¿Qué tratamiento te interesa para brindarte toda la información de precios y detalles? 💆‍♀️💫",chat,2026/08/03 13:43:20,
You,,tienes este servicio de endolaser?,,chat,2026/08/03 13:43:31,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,"Buenas tardes,  no  sabemos",chat,2026/08/03 15:00:11,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,Te voy a enviar nuestro portocolo de Endolifting láser,chat,2026/08/03 15:01:47,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,"ENDOLIFTING LASER Es un procedimiento láser mínimamente invasivo, ideal para tratar la flacidez leve - moderada a nivel de piel y grasa localizada tanto en rostro como en cuerpo.

ZONAS: 
✨ Bolsas periorbitarias:    $1`950.000
✨ Mejllas (tercio medio):    $2`900.000
✨ Ovalo mandibular- jowl $2`900.000
✨ Ovalo mandibular y papada:  $3`500.000
✨ Full face + papada  $6´500.000
✨ Full face sin papada $4`500.000

CORPORAL: 
✨ Brazos (cara interna): $3`200.000a
✨ Grasa pre- axilar: $2¨000.000
✨ Grasa pectoral: $3`200.000
✨ Abdomen superior: $3`200.000
✨ Abdomen inferior: $3`200.000
✨ Espalda alta $3`200.000
✨ Espalda baja $3’200.000
✨ Flancos $3´200.000
✨ Cara interna de muslos $3`500.000
✨ Hoyuelos de celulitis $3`200.000
✨ Grasa Infra glútea $3`500.000
💙
Edad indicada para el procedimiento hasta los 60 años. 
Incluye post 5 citas y medicamentos
Extranjeros: al menos 2 semanas disponibilidad
💙 
📩Es indispensable asistir a una valoración presencial o virtual para definir tu tratamiento de forma segura y personalizada.  Esta valoración tiene un costo de $150.000 * no abonables ni redimibles.
💙 
¿Te gustaría que revisemos la disponibilidad para agendar tu cita de valoración?",chat,2026/08/03 15:02:14,
You,,"Hola soy un facilitador de turismo médico, es posible hablar con el área comercial, me puedes dar un correo?",,chat,2026/08/03 15:17:55,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,Gerencia@dratatianaceballos.com.co,chat,2026/08/03 16:18:49,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,Puedes enviar tu propuesta,chat,2026/08/03 16:18:59,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,Por favor solamente te agradezco que escribas a este número en el otro chat ya escribiste,chat,2026/08/03 16:59:15,
You,,"si es mi compañera Jennifer, es la encargada del pasajero, yo soy Jenny Acosta directora ..",,chat,2026/08/03 17:07:51,
You,,"si la pasajera decide tomar los servicios, Jennifer hará la reservación y continuan por ese chat con el proceso, yo te enviare el correo electronico",,chat,2026/08/03 17:08:38,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,Únicamente por este chat por favor porque se requiere una valoración presencial previa con la Doctora. sin valoración no se realiza ningún procedimiento ni tratamiento,chat,2026/08/03 17:11:09,
Dra Beauty by Dra Tatiana Ceballos,+57 314 4332125,,Mi nombre es Pilar asistente administrativa  quedó atenta.,chat,2026/08/03 17:11:49,
