Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,"Hola buenos días, depronto tendrás disponibilida para un electrocardiograma y un ecocardiografia para yaaa jajaja el paciente esta en las VEGAS en este momento",,chat,2026/07/18 07:22:16,
MDE Citas INCARE,+57 318 4671647,,"🫀 ¡Gracias por comunicarte con IN CARE!

*Este es el canal de WhatsApp para usuarios de póliza o prepagada* Por favor, indícanos la aseguradora de la persona que requiere el servicio.

Para atención más rápida, si eres usuario de póliza o prepagada, llama a la línea 604 311 9495, extensión 105. 

¡Estamos aquí para cuidarte!",chat,2026/07/18 07:22:25,
MDE Citas INCARE,+57 318 4671647,,Buenos dias,chat,2026/07/18 07:33:59,
MDE Citas INCARE,+57 318 4671647,,Para el EKG SI,chat,2026/07/18 07:34:06,
MDE Citas INCARE,+57 318 4671647,,Para el ECO no,chat,2026/07/18 07:34:12,
You,,No alcanza de retraso en otro estudio gracias lo hacemos el martes como está programado,,chat,2026/07/18 07:35:52,
You,,Pero depronto tienes en las Vegas?,,chat,2026/07/18 07:36:02,
You,,"la tengo en el Tesoro, pero la necesito en las Vegas",,image,2026/07/18 07:36:41,
You,,[Photo],,image,2026/07/18 07:37:03,
MDE Citas INCARE,+57 318 4671647,,Para hoy se podria *Solo el EKG Electrocardiograma*  si algo puede venir antes las 10 am  a vegas.,chat,2026/07/18 07:38:27,
MDE Citas INCARE,+57 318 4671647,,Pero el ECO No,chat,2026/07/18 07:38:30,
You,,"aveces hay cancelaciones, entonces te recomiendo, es que tiene citas de especialistas en las vegas",,chat,2026/07/18 07:40:05,
MDE Citas INCARE,+57 318 4671647,,No hoy no tenemos para Eco,chat,2026/07/18 07:40:51,
You,,gracias,,chat,2026/07/18 07:41:04,
You,,el dia martes te recomiendo,,chat,2026/07/18 07:41:10,
You,,Hola buenos días,,chat,2026/07/18 08:57:53,
You,,"esta cita es posible tenerla a primera hora, 🥹🙏🏼🙏🏼?",,image,2026/07/18 08:58:21,
MDE Citas INCARE,+57 318 4671647,,La mas temprano 8:15,chat,2026/07/18 09:05:50,
MDE Citas INCARE,+57 318 4671647,,Sede Tesoro,chat,2026/07/18 09:05:54,
You,,si por favor,,chat,2026/07/18 09:06:04,
You,,me puedes sar 10 minutos mientras confirmo algo,,chat,2026/07/18 09:06:44,
MDE Citas INCARE,+57 318 4671647,,ok,chat,2026/07/18 09:07:56,
MDE Citas INCARE,+57 318 4671647,,le queda como la tenia,chat,2026/07/18 09:08:03,
MDE Citas INCARE,+57 318 4671647,,ningun cambio por ahora,chat,2026/07/18 09:08:09,
You,,"Hola buenos días, una pregunta los resultados de un electrocardiograma y de una prueba de esfuerzo cuanto tiempo se toma?",,chat,2026/07/21 10:46:57,
MDE Citas INCARE,+57 318 4671647,,Buenos dias,chat,2026/07/21 10:54:49,
MDE Citas INCARE,+57 318 4671647,,electrocardiograma al dia siguiente,chat,2026/07/21 10:55:00,
MDE Citas INCARE,+57 318 4671647,,prueba de esfuerzo el mismo dia,chat,2026/07/21 10:55:08,
You,,"al pregunta es porque tengo que tomar los estudios a las 8 am y el cardiologo lo tiene que ver a las 10am , eso es posible?",,chat,2026/07/21 11:51:15,
You,,[Audio/Voice],,ptt,2026/07/21 11:51:27,
You,,[Audio/Voice],,ptt,2026/07/21 11:51:39,
MDE Citas INCARE,+57 318 4671647,,Despues de terminado el  examen 15 minutos el resultado.,chat,2026/07/21 11:54:54,
