Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
MDE Clinica AURORA Dermatología oncológica,+57 305 2912287,,¡Feliz dia!,chat,2026/08/06 15:19:37,
You,,Hola,,chat,2026/08/06 15:19:40,
You,,Orden FOTOGRAFIA CORPORAL TOTAL - Alejandra - 03-08-26-RVA077-5-Recomendacion_NXD189HR3_ALEJANDRA_FILOMENA_RUMAI-32244875_03082026_162829.pdf,,document,2026/08/06 15:19:48,
MDE Clinica AURORA Dermatología oncológica,+57 305 2912287,,"1. Tipo de documento de identidad (CC, TI, otro)
2. Número de documento
3. Nombre completo
4. Fecha de nacimiento (DD/MM/AAAA)
5. Número de contacto
6. Correo electrónico
7. Entidad por la cual consulta
8. Cirugía o procedimiento a realizar
9. ¿Tiene algun inconveniente para subir o bajar escalas?",chat,2026/08/06 15:19:56,
You,,"Nombre	Alejandra
Nombre	Filomena
Apellido	Rumai
Pasaporte 	NXD189HR3
Fecha de nacimiento	5/10/1954
Edad	71",,chat,2026/08/06 15:20:02,
You,,reservasmedical@gmail.com,,chat,2026/08/06 15:20:27,
You,,3157721914,,chat,2026/08/06 15:20:30,
You,,Privado,,chat,2026/08/06 15:20:31,
You,,Facilitador de turismo médico - Medical Trip Colombia no hay convenio particular,,chat,2026/08/06 15:20:45,
MDE Clinica AURORA Dermatología oncológica,+57 305 2912287,,¿Tiene algun inconveniente para subir o bajar escalas?,chat,2026/08/06 15:22:33,
You,,no,,chat,2026/08/06 15:22:40,
MDE Clinica AURORA Dermatología oncológica,+57 305 2912287,,"Gracias por la información.👍🏻 Le confirmo la cita del señor(a):ALEJANDRA FILOMENA RUMAI                                                                                                                                        quedo asignada para EL LUNES 10 DE AGOSTO A LAS 1:45 PM con el Dr(a):ALEJANDRA JARAMILLO 

📍 Estamos ubicados:   en el Poblado, sector de Patio Bonito, a una cuadra del Éxito del Poblado sobre la canalización.
Carrera 46 No. 7–12 SEDE 1

 
   Un día antes nos comunicaremos para confirmarla. Por favor tener presente las siguientes recomendaciones:
🔵 Debe presentarse 30 minutos antes para realizar el ingreso. ⏳
🔵 Llevar la orden médica si es la primera vez que consulta en Aurora. ❗
🔵 No aplicarse ningún medicamento ni protector solar. ❌
🔵 Debe tener todas las uñas completamente desmaquilladas. 💅🏻
🔵 No usar ningún tipo de maquillaje en el rostro. 🚫
🔵 No puede estar bronceada. ❌
🔵 Si tiene cabello largo, traer algo para recogerlo. 👩🏻
🔵 En caso de presentar algún síntoma gripal, el uso del tapabocas es obligatorio 😷
🔵 Si por alguna situación debe cancelar su cita, puede hacerlo por este mismo medio.",chat,2026/08/06 15:23:21,
MDE Clinica AURORA Dermatología oncológica,+57 305 2912287,,Recuerde que la consulta por particular tiene un valor de 1015.000 pesos,chat,2026/08/06 15:23:41,
MDE Clinica AURORA Dermatología oncológica,+57 305 2912287,,¿algo mas en lo que le pueda colaborar ?,chat,2026/08/06 15:23:52,
You,,"necesito el certificado bancario para hacer el pago y el RUT, por favor me puede conseguir un correo electronico o telefono del area comercial para hacer el convenio",,chat,2026/08/06 15:24:22,
