Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Hola muy buenos días 🌞,,chat,2026/07/14 08:50:24,
You,,"Te cuento que no tengo luz, y no tengo internet",,chat,2026/07/14 08:50:35,
You,,Solo los datos del celular,,chat,2026/07/14 08:50:41,
You,,Podría intentar hacer video llamada,,chat,2026/07/14 08:50:51,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,Hola ! Como estas ?,chat,2026/07/14 08:54:22,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,Ay 😳 No te preocupes si quieres reprogramamos para cuando regrese la energia,chat,2026/07/14 08:54:54,
You,,Sí está bien,,chat,2026/07/14 08:57:20,
You,,Te aviso,,chat,2026/07/14 08:57:24,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,Muchas gracias! perfecto,chat,2026/07/14 09:00:20,
You,,"me compartes tu RUT y certificado bancario, por favor para hacerte este pago",,chat,2026/07/16 14:16:35,
You,,[Audio/Voice],,ptt,2026/07/16 14:24:34,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,"Buenas tardes! Claro que si no hay problema, quedamos super atentos",chat,2026/07/16 14:32:36,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,"Perfecto, ya te los comparto",chat,2026/07/16 14:32:50,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,CERTIFICADO BANCARIO 09 SEPTIEMBRE.pdf,document,2026/07/16 14:39:17,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,RUT 01 DE DICIEMBRE.pdf,document,2026/07/16 14:39:18,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,Quedamos atentos al envio del comprobante de pago,chat,2026/07/16 15:04:42,
You,,Pago clínica Clofan RVA322 Consulta Oftalmología,,image,2026/07/16 15:55:38,
You,,[Contact] MDE ACP Andres Cantero Medical Trip Colombia - 573182856551,,vcard,2026/07/16 15:55:50,
You,,mañana va a ir mi compañero Andrés con las pasajeras,,chat,2026/07/16 15:55:58,
You,,[Photo],,image,2026/07/16 15:56:25,
You,,¿tienes parqueadero con sello o siempre cobran?,,chat,2026/07/16 15:56:36,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,Perfecto muchas gracias,chat,2026/07/16 16:00:03,
MDE Clínica Clofán Servicios Internacionales,+57 315 3606728,,Se pone un sello después de la consulta y con esto se da un descuento en el parqueadero,chat,2026/07/16 16:00:11,
