Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Buenas tardes,,chat,2026/07/18 19:16:29,
MZL Recepción termales el otoño,+57 313 5660852,,Buenas noches,chat,2026/07/18 19:22:40,
MZL Recepción termales el otoño,+57 313 5660852,,Como puedo ayudarle ?,chat,2026/07/18 19:22:46,
You,,Gracias mi compañera Jennifer ya está en contacto con ustedes para un grupo que llega mañana,,chat,2026/07/18 19:23:15,
You,,"Holaa,",,chat,2026/07/20 11:56:18,
You,,estan emitiendo las facturas MAL,,image,2026/07/20 11:56:23,
You,,POR FAVOR NO ENTREGARLAS AL LOS PASAJEROS,,chat,2026/07/20 11:56:29,
You,,las facturas deben salid a Nombre de MEDICAL TRIP COLOMBIA,,chat,2026/07/20 11:56:41,
You,,.,,chat,2026/07/20 11:59:52,
MZL Recepción termales el otoño,+57 313 5660852,,Hola,chat,2026/07/20 12:07:29,
You,,2026-RUT MEDICAL TRIP COLOMBIA S.A.S.pdf,,document,2026/07/20 12:07:45,
MZL Recepción termales el otoño,+57 313 5660852,,Si me regalas un momento para hacer nota crédito y te mandamos las facturas,chat,2026/07/20 12:11:15,
You,,somos OPERADOR,,document,2026/07/20 12:11:26,
You,,"Tranquila, gracias!!",,chat,2026/07/20 12:11:36,
MZL Recepción termales el otoño,+57 313 5660852,,A nombre de que empresa se debe facturar ?,chat,2026/07/20 14:08:21,
MZL Recepción termales el otoño,+57 313 5660852,,Perdon,chat,2026/07/20 14:08:40,
You,,Hola,,chat,2026/07/20 14:08:41,
MZL Recepción termales el otoño,+57 313 5660852,,ya vi,chat,2026/07/20 14:08:42,
You,,MEDICAL TRIP COLOMBIA S.A.S,,chat,2026/07/20 14:08:46,
