Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
Mde Cima Contabilidad,@dmpm81,,Buenos dias,chat,2026/07/29 09:07:16,
Mde Cima Contabilidad,@dmpm81,,espero que se encuentre muy bien,chat,2026/07/29 09:07:21,
You,,[Audio/Voice],,ptt,2026/07/29 09:07:32,
Mde Cima Contabilidad,@dmpm81,,tensmos estas facturas pendientes por pagp,image,2026/07/29 09:07:32,
You,,[Audio/Voice],,ptt,2026/07/29 09:08:04,
Mde Cima Contabilidad,@dmpm81,,"Muy bien, gracias",chat,2026/07/29 09:10:11,
You,,[Audio/Voice],,ptt,2026/07/29 10:13:31,
You,,[Contact] Mocoa Duván Medical - 573503569998,,vcard,2026/07/29 10:13:44,
Mde Cima Contabilidad,@dmpm81,,[Audio/Voice],ptt,2026/07/29 10:14:34,
You,,[Audio/Voice],,ptt,2026/07/29 11:24:55,
Mde Cima Contabilidad,@dmpm81,,confirmado,chat,2026/07/29 11:43:02,
You,,[Audio/Voice],,ptt,2026/07/29 11:47:00,
Mde Cima Contabilidad,@dmpm81,,si claro,chat,2026/07/29 11:51:00,
Mde Cima Contabilidad,@dmpm81,,[Audio/Voice],ptt,2026/07/29 11:51:18,
You,,[Audio/Voice],,ptt,2026/07/29 11:52:53,
Mde Cima Contabilidad,@dmpm81,,perfecto mucha gracias,chat,2026/07/29 12:08:46,
You,,"$3,151,632",,chat,2026/07/31 11:43:52,
You,,[Audio/Voice],,ptt,2026/07/31 11:44:20,
Mde Cima Contabilidad,@dmpm81,,Claro que si,chat,2026/07/31 11:44:43,
Mde Cima Contabilidad,@dmpm81,,Buenos dias,chat,2026/07/31 11:44:47,
Mde Cima Contabilidad,@dmpm81,,https://checkout.rapyd.net/?token=checkout_6ef49b928b17710f7336bc137ddc560b,chat,2026/07/31 11:51:00,
You,,[Photo],,image,2026/07/31 12:15:15,
You,,[Audio/Voice],,ptt,2026/07/31 12:15:36,
Mde Cima Contabilidad,@dmpm81,,https://www.rapyd.ly/pay/ULASybaH,chat,2026/07/31 12:24:39,
You,,[Audio/Voice],,audio,2026/07/31 12:28:29,
You,,[Photo],,image,2026/07/31 12:30:11,
Mde Cima Contabilidad,@dmpm81,,[Audio/Voice],ptt,2026/07/31 12:35:22,
Mde Cima Contabilidad,@dmpm81,,https://sandboxcheckout.rapyd.net/?token=checkout_46f57fd3b94990983c3cd5e29d511e2a,chat,2026/07/31 12:36:46,
You,,[Photo],,image,2026/07/31 14:36:29,
You,,Me confirmas si te ingresó por favor,,chat,2026/07/31 14:36:35,
Mde Cima Contabilidad,@dmpm81,,CONFIRMADO,chat,2026/07/31 14:38:56,
Mde Cima Contabilidad,@dmpm81,,Buenos dias,chat,2026/08/03 09:17:33,
You,,Muy buenos días 🌞,,chat,2026/08/03 09:18:24,
Mde Cima Contabilidad,@dmpm81,,por favor me ayudas validando si efectivamente les fue debitado el pago,chat,2026/08/03 09:19:51,
Mde Cima Contabilidad,@dmpm81,,es que estoy haciendo la conciliación de la cuenta y no me aparece el pago,chat,2026/08/03 09:20:21,
Mde Cima Contabilidad,@dmpm81,,[Photo],image,2026/08/03 09:20:26,
You,,[Audio/Voice],,ptt,2026/08/03 09:39:15,
Mde Cima Contabilidad,@dmpm81,,tranquila,chat,2026/08/03 13:07:07,
Mde Cima Contabilidad,@dmpm81,,muchas gracias,chat,2026/08/03 13:07:10,
You,,[Photo],,image,2026/08/05 09:13:02,
You,,"Hola muy buenos días 🌞 mis pasajeros acaban de hacer este pago , me confirmas recibido",,chat,2026/08/05 09:13:20,
Mde Cima Contabilidad,@dmpm81,,Buenos dias,chat,2026/08/05 09:22:04,
Mde Cima Contabilidad,@dmpm81,,Si confirmado,chat,2026/08/05 09:23:18,
Mde Cima Contabilidad,@dmpm81,,Pudieron validar esta información?,chat,2026/08/05 09:26:22,
You,,[Audio/Voice],,ptt,2026/08/05 09:27:00,
Mde Cima Contabilidad,@dmpm81,,Muchas gracias,chat,2026/08/05 09:28:29,
