Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Hola,,chat,2026/08/06 15:53:33,
Mde Citas Cedimed,+57 316 7668245,,"Hola, bienvenido a *Diagnóstico* *CEDIMED*, soy 👩🏻‍🦰 *CeCi,* tu asistente virtual y estoy aquí para acompañarte en el agendamiento de tus servicios.",chat,2026/08/06 15:53:39,
Mde Citas Cedimed,+57 316 7668245,,"Para nosotros es importante que sepas que todos tus datos serán tratados con la responsabilidad y transparencia que caracterizan a *Diagnóstico Cedimed.* Aquí puedes consultar nuestra política de tratamiento de datos: https://bit.ly/46ihhMN

¿Acepta los términos para continuar?
1. *Sí*
2. *No*",chat,2026/08/06 15:53:41,
Mde Citas Cedimed,+57 316 7668245,,"🪪 Por favor, ingresa el número de documento de identificación del paciente (sin puntos ni comas).",chat,2026/08/06 15:53:49,
You,,NXD189HR3,,chat,2026/08/06 15:54:00,
Mde Citas Cedimed,+57 316 7668245,,"✍🏻Escribe el nombre de tu aseguradora:

_(_*Por ejemplo*_: _Particular, Póliza, Prepagada o si deseas escribe el nombre de tu EPS_)_",chat,2026/08/06 16:02:51,
You,,Hola,,chat,2026/08/11 15:30:22,
Mde Citas Cedimed,+57 316 7668245,,"⏰ Se nos terminó el tiempo de espera. Para poder ayudarle bien, ¡empecemos de nuevo!",chat,2026/08/11 15:30:28,
Mde Citas Cedimed,+57 316 7668245,,"Para nosotros es importante que sepas que todos tus datos serán tratados con la responsabilidad y transparencia que caracterizan a *Diagnóstico Cedimed.* Aquí puedes consultar nuestra política de tratamiento de datos: https://bit.ly/46ihhMN

¿Acepta los términos para continuar?
1. *Sí*
2. *No*",chat,2026/08/11 15:30:30,
Mde Citas Cedimed,+57 316 7668245,,"🪪 Por favor, ingresa el número de documento de identificación del paciente (sin puntos ni comas).",chat,2026/08/11 15:30:42,
You,,NXD189HR3,,chat,2026/08/11 15:31:45,
Mde Citas Cedimed,+57 316 7668245,,"✍🏻Escribe el nombre de tu aseguradora:

_(_*Por ejemplo*_: _Particular, Póliza, Prepagada o si deseas escribe el nombre de tu EPS_)_",chat,2026/08/11 15:32:10,
You,,Particular,,chat,2026/08/11 15:32:15,
Mde Citas Cedimed,+57 316 7668245,,🧑‍💼 Te estoy conectando con uno de nuestros agentes. Por favor espera un momento...,chat,2026/08/11 15:32:33,
Mde Citas Cedimed,+57 316 7668245,,Muy buenas tardes le habla Clara Quinchia  de Quiron Salud Diagnostico Cedimed ¿Cómo le puedo ayudar el día de hoy?,chat,2026/08/11 15:41:07,
You,,Para mañana tienes disponibilidad,,chat,2026/08/11 15:43:18,
You,,Ecografía de abdomen total en poblado,,chat,2026/08/11 15:43:34,
You,,[Photo],,image,2026/08/11 15:44:07,
Mde Citas Cedimed,+57 316 7668245,,21 de agosto a las 6.00 am o alas 12.40 pm,chat,2026/08/11 16:22:54,
Mde Citas Cedimed,+57 316 7668245,,en la sede de oviedo,chat,2026/08/11 16:22:58,
Mde Citas Cedimed,+57 316 7668245,,desea tomarla,chat,2026/08/11 16:23:49,
You,,"Hola no, es para mañana solamente puede gracias",,chat,2026/08/11 16:27:32,
Mde Citas Cedimed,+57 316 7668245,,es con todo el gusto es la dipsonibilidad y no han cancelado,chat,2026/08/11 16:27:54,
Mde Citas Cedimed,+57 316 7668245,,que tenga una feliz tarde,chat,2026/08/11 16:27:58,
You,,gracias,,chat,2026/08/11 16:28:01,
Mde Citas Cedimed,+57 316 7668245,,"✅ Esperamos haber ayudado en tu atención, esta conversación se cerrará, pero pudes volver a solicitar mi servicio cuando desees..",chat,2026/08/11 16:28:02,
Mde Citas Cedimed,+57 316 7668245,,🙏 ¡Con mucho gusto! Gracias por comunicarse con nosotros. Que tengas un feliz día.,chat,2026/08/11 16:28:07,
