Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,[Audio/Voice],,ptt,2026/07/31 09:39:09,
Mde Escano Hendider,@mercadeoescano,,[Audio/Voice],ptt,2026/07/31 10:35:18,
You,,Entiendo,,chat,2026/07/31 10:43:01,
You,,Te avisaré gracias,,chat,2026/07/31 10:43:37,
You,,disculpa se disparo la llamada,,chat,2026/08/13 11:18:04,
You,,pero igual estoy buscando una gammagrafia renal,,chat,2026/08/13 11:18:11,
You,,"Y. ,,,    C.             Ezx la tarde de la tarde de la tarde de hoy",,chat,2026/08/13 11:18:58,
You,,te envio correo,,chat,2026/08/13 11:19:01,
Mde Escano Hendider,@mercadeoescano,,[Audio/Voice],ptt,2026/08/13 11:31:22,
You,,entiendo gracias,,chat,2026/08/13 11:42:00,
Mde Escano Hendider,@mercadeoescano,,Con gusto,chat,2026/08/13 11:56:50,
