Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,"Buenas tardes, por favor para solicitar una cotización de una habitación con una cama king, si tienes para silla de ruedas una habitacion mejor",,chat,2026/08/03 15:52:34,
Mde Hotel Inntu,+57 301 4187608,,"Bienvenidos a Inntu Hotel 🌿
¡Un gusto saludarle!

Mi nombre es Cristian Atehortúa, soy el encargado del área comercial y estoy aquí para atenderle.
✨ Cuénteme, ¿en qué le puedo ayudar hoy?",chat,2026/08/03 15:52:35,
You,,de 12  al 22 de agosto,,chat,2026/08/03 15:52:38,
You,,soy Jenny de Medical Trip Colombia,,chat,2026/08/03 15:52:45,
You,,me puedes dar tarifa comisionable para que el pasjero pague a ustedes de manera directa,,chat,2026/08/03 15:53:19,
Mde Hotel Inntu,+57 301 4187608,,"Buenas tardes 
Saludos cordiales 

Cómo está?",chat,2026/08/03 15:53:41,
Mde Hotel Inntu,+57 301 4187608,,La habitación que tenemos habilitadas para personas con movilidad es la siguiente,chat,2026/08/03 15:54:06,
Mde Hotel Inntu,+57 301 4187608,,No tiene cama king,chat,2026/08/03 15:54:40,
Mde Hotel Inntu,+57 301 4187608,,[Photo],image,2026/08/03 15:55:03,
Mde Hotel Inntu,+57 301 4187608,,Para cuántas personas?,chat,2026/08/03 15:55:03,
You,,[Audio/Voice],,ptt,2026/08/03 15:55:22,
You,,dos adultos,,chat,2026/08/03 15:55:27,
You,,12 al 22 de agosto tienes disponibilidad?,,chat,2026/08/03 15:56:07,
Mde Hotel Inntu,+57 301 4187608,,[Photo],image,2026/08/03 15:57:07,
Mde Hotel Inntu,+57 301 4187608,,"Envío tarifa para dos personas, el valor es el mismo si es cama queen, cama king o habitación de movilidad reducida",image,2026/08/03 16:09:23,
You,,me ayudas con la reserva por favor,,chat,2026/08/03 16:09:45,
Mde Hotel Inntu,+57 301 4187608,,"para las fecha nos queda 1 habitación de cada tipo, ademas de habitaciones suites pero estan tienen otros valores",chat,2026/08/03 16:10:11,
Mde Hotel Inntu,+57 301 4187608,,en que tipo de habitación desea que realicemos la reserva?,chat,2026/08/03 16:10:27,
You,,"Nombre	Eduard
Apellido	Hogenboom
Género	Masculino
Pasaporte	NMH627F62
Fecha de nacimiento	8 de Decembere 1945
Edad	80",,chat,2026/08/03 16:10:31,
You,,[This message was deleted],,revoked,2026/08/03 16:11:00,
You,,en la habitacion de movilidad reducida por favor,,chat,2026/08/03 16:11:26,
Mde Hotel Inntu,+57 301 4187608,,Listo,chat,2026/08/03 16:11:44,
Mde Hotel Inntu,+57 301 4187608,,Desea que tenga una cama adicional?,chat,2026/08/03 16:11:53,
Mde Hotel Inntu,+57 301 4187608,,No tendría costo adicional,chat,2026/08/03 16:12:00,
You,,"no, son pareja",,chat,2026/08/03 16:12:19,
You,,con una sola cama queen esta bien,,chat,2026/08/03 16:12:24,
Mde Hotel Inntu,+57 301 4187608,,Listo,chat,2026/08/03 16:12:40,
Mde Hotel Inntu,+57 301 4187608,,[Photo],image,2026/08/03 16:18:43,
Mde Hotel Inntu,+57 301 4187608,,RESERVA 34543 SR HOGENBOOM EDUARD  MEDICAL TRIP COLOMBIA S A S.pdf,document,2026/08/03 16:19:13,
You,,"gracias, para la garantia me puedes enviar un link para la primera noche el saldo lo paga el pax directo en el hotel al momento de check in , esta bien?",,chat,2026/08/03 16:19:20,
Mde Hotel Inntu,+57 301 4187608,,Envío confirmación de reserva,chat,2026/08/03 16:19:22,
Mde Hotel Inntu,+57 301 4187608,,Puede pagar todo en el check in,chat,2026/08/03 16:19:40,
Mde Hotel Inntu,+57 301 4187608,,Si gusta,chat,2026/08/03 16:19:43,
Mde Hotel Inntu,+57 301 4187608,,Por nuestra parte esta confirmada la reserva,chat,2026/08/03 16:19:59,
You,,mejor gracias,,chat,2026/08/03 16:20:58,
Mde Hotel Inntu,+57 301 4187608,,Perfecto,chat,2026/08/03 16:21:15,
Mde Hotel Inntu,+57 301 4187608,,Quedamos listos de momento,chat,2026/08/03 16:21:23,
Mde Hotel Inntu,+57 301 4187608,,Cualquier ayuda estaré súper atento,chat,2026/08/03 16:21:27,
You,,gracias,,chat,2026/08/03 16:21:30,
Mde Hotel Inntu,+57 301 4187608,,Es para servirle,chat,2026/08/03 16:21:37,
You,,Buenos días ustedes reciben American tarjeta?,,chat,2026/08/04 06:04:46,
Mde Hotel Inntu,+57 301 4187608,,"¡Hola! 👋 Gracias por comunicarte con Inntu Hotel.
En este momento nuestras oficinas se encuentran cerradas. 
Con mucho gusto atenderemos tu solicitud en cuanto retomemos labores.

🕗 Horario de atención: desde las 8:00 a.m.
📞 También puedes comunicarte al (604) 444 9821, extensiones 9 o 101, para recibir apoyo lo más pronto posible.

¡Gracias por tu comprensión! 💙🏨",chat,2026/08/04 06:04:50,
You,,Buenos días ☀️,,chat,2026/08/04 08:09:36,
You,,[Audio/Voice],,ptt,2026/08/04 08:09:46,
Mde Hotel Inntu,+57 301 4187608,,"Hola
Buenos días 
Saludos cordiales 

Cómo está?",chat,2026/08/04 09:24:28,
Mde Hotel Inntu,+57 301 4187608,,"Si, recibimos todo tipo de tarjetas",chat,2026/08/04 09:24:46,
You,,"Dear Jenny,
We have made the flight booking and the reservation in the INNTO hotel including the required prepayments. Thank you for recommending. 
Dates and other info attached, including arrival time at the airport. Hotel has approved early check-in. We have booked though 19 and may extend after that or move to other location. Depending my situation.
Kind regards,
Eduard",,document,2026/08/04 17:20:34,
Mde Hotel Inntu,+57 301 4187608,,"¡Hola! 👋 Gracias por comunicarte con Inntu Hotel.
En este momento nuestras oficinas se encuentran cerradas. 
Con mucho gusto atenderemos tu solicitud en cuanto retomemos labores.

🕗 Horario de atención: desde las 8:00 a.m.
📞 También puedes comunicarte al (604) 444 9821, extensiones 9 o 101, para recibir apoyo lo más pronto posible.

¡Gracias por tu comprensión! 💙🏨",chat,2026/08/04 17:20:35,
You,,[Audio/Voice],,ptt,2026/08/04 17:21:03,
Mde Hotel Inntu,+57 301 4187608,,Está reserva fue realizada el día de hoy,chat,2026/08/04 17:29:23,
Mde Hotel Inntu,+57 301 4187608,,Fue realizada por la plataforma de booking,chat,2026/08/04 17:29:31,
Mde Hotel Inntu,+57 301 4187608,,La tarifa que le ofrece booking es de $321.246,chat,2026/08/04 17:30:02,
Mde Hotel Inntu,+57 301 4187608,,Es mucho mayor,chat,2026/08/04 17:30:05,
You,,[Audio/Voice],,ptt,2026/08/04 17:30:48,
Mde Hotel Inntu,+57 301 4187608,,Ahora el tema de la comisión sería que no podemos dejar la reserva que está tomando por booking y pagar comisión ya que serían dos comisiones bajo una misma reserva,chat,2026/08/04 17:31:29,
Mde Hotel Inntu,+57 301 4187608,,Puede cancelar por booking si cobran penalidad nosotros la cancelamos,chat,2026/08/04 17:31:43,
You,,"This is a real misun derstanding. Very sorry. I thought yours was a proposal that we should check and book/pay ourselves.
That is why the question on AMEX credit card. Just like you proposed the flight proposals. Sorry.",,chat,2026/08/04 17:32:05,
You,,ya pago en booking,,chat,2026/08/04 17:32:19,
You,,o no ha pagado?,,chat,2026/08/04 17:32:40,
Mde Hotel Inntu,+57 301 4187608,,En booking no hemos debitado nada,chat,2026/08/04 17:32:44,
Mde Hotel Inntu,+57 301 4187608,,Yo soy el encargado de cobrar,chat,2026/08/04 17:32:48,
Mde Hotel Inntu,+57 301 4187608,,Afortunadamente es por booking,chat,2026/08/04 17:32:53,
Mde Hotel Inntu,+57 301 4187608,,Dígale que intente cancelar así diga que tiene penalidad,chat,2026/08/04 17:33:06,
Mde Hotel Inntu,+57 301 4187608,,Yo acá la cancelo sin cobro,chat,2026/08/04 17:33:13,
You,,We made the reservation through Booking.com . We haven't paid yet.,,chat,2026/08/04 17:34:43,
You,,dame un momento mientras me autoriza para que canceles,,chat,2026/08/04 17:37:52,
Mde Hotel Inntu,+57 301 4187608,,"Normalmente es pago es en el momento del chek in, se ingresa datos de la tarjeta de credito para garantizar reserva. pero yo soy el encargado de cobrar la penalidad",chat,2026/08/04 17:38:02,
Mde Hotel Inntu,+57 301 4187608,,el señor debe cancelar por al app de booking y yo realizo los cambios por este medio,chat,2026/08/04 17:38:25,
You,,[Photo],,image,2026/08/04 17:42:37,
You,,[Audio/Voice],,ptt,2026/08/04 17:42:52,
Mde Hotel Inntu,+57 301 4187608,,"Yo voy hacer una acción que es poner la tarjeta sin fondos y mañana puedo cancelar 

Informar que no realice actualización de datos de tarjeta de crédito",chat,2026/08/04 17:43:50,
You,,[Audio/Voice],,ptt,2026/08/04 17:44:00,
Mde Hotel Inntu,+57 301 4187608,,De momento en la habitación que está es posible,chat,2026/08/04 17:44:26,
Mde Hotel Inntu,+57 301 4187608,,Desde que nos diga con tiempo,chat,2026/08/04 17:44:32,
Mde Hotel Inntu,+57 301 4187608,,Con la reserva que tenemos actualmente está hasta el 22,chat,2026/08/04 17:44:44,
You,,[Audio/Voice],,ptt,2026/08/04 17:45:03,
You,,[Audio/Voice],,ptt,2026/08/04 17:45:20,
Mde Hotel Inntu,+57 301 4187608,,Bueno es posible esperar lo único que me detiene es que para la noche del 20 de agosto quedan 2 habitaciones suite y una standard,chat,2026/08/04 17:47:15,
Mde Hotel Inntu,+57 301 4187608,,[Photo],image,2026/08/04 18:02:54,
You,,Esto no es mio,,chat,2026/08/04 18:58:45,
Mde Hotel Inntu,+57 301 4187608,,[Audio/Voice],ptt,2026/08/04 19:34:01,
You,,[This message was deleted],,revoked,2026/08/04 19:36:59,
You,,[Audio/Voice],,ptt,2026/08/04 19:37:43,
You,,[Audio/Voice],,ptt,2026/08/04 19:39:51,
You,,"dame un momento , no me cambies la RVA",,chat,2026/08/04 19:39:59,
Mde Hotel Inntu,+57 301 4187608,,Tranquila igualmente yo los espero,chat,2026/08/04 19:41:22,
Mde Hotel Inntu,+57 301 4187608,,Estamos a tiempo,chat,2026/08/04 19:41:27,
Mde Hotel Inntu,+57 301 4187608,,[Audio/Voice],ptt,2026/08/04 19:42:01,
You,,sii gracias mañana hablamos,,chat,2026/08/04 19:53:09,
