Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Hola muy buenas tardes te comparto los datos de la enfermera que hará el estudio esta noche al Sr  Reemy Poppen,,chat,2026/07/13 12:36:01,
You,,"Yesenia Loaiza Pizarro 
CC. 1128401635",,chat,2026/07/13 12:36:28,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,Buenos días,chat,2026/07/13 12:36:44,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,"Listo, perfecto.
Quedamos atentos",chat,2026/07/13 12:36:56,
You,,Hola buenas noches,,chat,2026/07/13 20:50:39,
You,,la enfermera se encuentra en la recepción,,chat,2026/07/13 20:50:47,
You,,"estás marcando a la habitaciíon de Reemuy Poppen 1001?, el esta ahí pero dicen que no le marcan",,chat,2026/07/13 20:51:02,
You,,el señor Reemy dice que no le suena en la habitación,,chat,2026/07/13 20:51:37,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,"Buenas noches, sii",chat,2026/07/13 20:53:12,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,Acaba de subir la enfermera,chat,2026/07/13 20:53:16,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,Gracias,chat,2026/07/13 20:53:19,
You,,"Hola buenas tardes, tienes disponibilidad de una habitación individual del 17 al 22  Julio",,chat,2026/07/14 11:45:37,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,"Buenas tardes, espero esten muy bien",chat,2026/07/14 12:07:04,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,para cuantas personas seria la reserva? 1 o 2?,chat,2026/07/14 12:07:19,
You,,"en principio es una personas, pero estan viendo si viene con su pareja..",,chat,2026/07/14 12:07:43,
You,,[Audio/Voice],,ptt,2026/07/14 12:07:50,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,Para 2 personas el precio por las 5 noches seria de 2.239.500 COP  antes de IVA,chat,2026/07/14 13:19:48,
You,,Hola,,chat,2026/07/14 16:41:49,
You,,"Hola, sale en Booking habitación depronto la tienes?",,image,2026/07/14 16:44:56,
You,,[Photo],,image,2026/07/14 16:50:37,
You,,[Audio/Voice],,ptt,2026/07/14 16:51:05,
You,,"Nombre	Raymond
Nombre	Cecilio
Nombre	Pragmacio
Apellido	Lucas
Género:  .	Masculino
Pasaporte	NUHB3JD62
Fecha de nacimiento	22 de Noviembre 1959",,chat,2026/07/14 16:51:14,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,"Hola, le comparto el contacto del jefe de reservas",chat,2026/07/14 18:27:03,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,Ya que por el tema de igualar las tarifas sería con el,chat,2026/07/14 18:27:17,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,[Contact] Julio Cárdenas - 573107876647,vcard,2026/07/14 18:27:34,
You,,[Audio/Voice],,ptt,2026/07/14 18:36:50,
You,,Por favor toma la reserva,,chat,2026/07/14 18:42:08,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,Indiqueme las fechas por favor para realizarla,chat,2026/07/14 18:53:28,
You,,17 al 22 julio,,chat,2026/07/14 18:57:18,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,Seria entonces en la deluxe?,chat,2026/07/14 18:58:44,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,Esta?,chat,2026/07/14 18:58:50,
You,,La.mas económica que tengas,,chat,2026/07/14 18:59:30,
Mde Htl Novelty Suites Reservas,+57 320 6888888,,"Habitacion individual, 5 noches para 2 personas quedaria la noche por valor de 339.430,00 antes de impuesto",chat,2026/07/14 19:02:01,
