Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,6 adultos...4 niños,,chat,2026/08/05 21:59:01,
You,,3 habitacion asi,,chat,2026/08/05 21:59:01,
You,,Si 3 parejas,,chat,2026/08/05 21:59:01,
You,,2 de 10,,chat,2026/08/05 21:59:01,
You,,1 de 6,,chat,2026/08/05 21:59:01,
You,,1 de 4,,chat,2026/08/05 21:59:01,
You,,Disculpa la hora tienes disponibilidad en algún hotel para esta familia ingresando mañana y saliendo el 12,,chat,2026/08/05 21:59:38,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,Hola !!,chat,2026/08/05 22:00:49,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,"Espérame me levanto y reviso 
Porq Medellín está full",chat,2026/08/05 22:01:11,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,Los niños qué edad tienen,chat,2026/08/05 22:03:27,
You,,.,,chat,2026/08/05 22:03:41,
You,,[Audio/Voice],,ptt,2026/08/05 22:03:56,
You,,[Audio/Voice],,ptt,2026/08/05 22:04:07,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,"En Flats laureles no tengo 
Pero tengo en somos s que es el nuevo hotel detrás del obelisco",chat,2026/08/05 22:05:34,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,Solo me queda tres hab de dos camas,chat,2026/08/05 22:05:46,
You,,Si ok,,chat,2026/08/05 22:05:47,
You,,[Audio/Voice],,ptt,2026/08/05 22:06:04,
You,,[Audio/Voice],,ptt,2026/08/05 22:06:21,
You,,Oke cuando lo tengang mandame precio i foto para cuadrar con todos,,chat,2026/08/05 22:06:50,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,Te voy a enviar el portafolio,chat,2026/08/05 22:07:08,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,[Audio/Voice],ptt,2026/08/05 22:09:27,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,THE SOMOS S.pdf,document,2026/08/05 22:09:57,
You,,Sii tendrán que acomodarse,,chat,2026/08/05 22:10:38,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,[Audio/Voice],ptt,2026/08/05 22:10:54,
You,,Y hoy están disponibles también?,,chat,2026/08/05 22:11:17,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,Para hoy 5?,chat,2026/08/05 22:11:31,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,[Audio/Voice],ptt,2026/08/05 22:12:01,
You,,Estan en otra parte no bien acomodados entendí,,chat,2026/08/05 22:12:54,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,"Sabes en qué parte están 
Para mirar bien el hotel y precio",chat,2026/08/05 22:13:18,
You,,No,,chat,2026/08/05 22:13:31,
You,,Dame tarifa de lo que tienes disponibilidad apartir de hoy x fa,,chat,2026/08/05 22:14:13,
You,,[Audio/Voice],,ptt,2026/08/05 22:14:23,
You,,[Audio/Voice],,ptt,2026/08/05 22:14:39,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,[Audio/Voice],ptt,2026/08/05 22:15:26,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,"Habitación de una cama 223.000 + IVA 
Habitación de dos camas 266.000 + IVA 
Habitación de tres camas sencillas 277.000 + IVA 
Desayuno incluido",chat,2026/08/05 22:17:30,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,Tarifa comisionable al 10,chat,2026/08/05 22:17:40,
You,,277 por las tres personas?,,chat,2026/08/05 22:18:06,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,"si + iva (en caso que sean colombianos)
las camas son sencillas",chat,2026/08/05 22:18:34,
You,,Tienes disponibilidad desde hoy?,,chat,2026/08/05 22:20:09,
You,,.,,chat,2026/08/05 22:20:26,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,[Audio/Voice],ptt,2026/08/05 22:21:10,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,[Photo],image,2026/08/05 22:21:31,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,[Audio/Voice],ptt,2026/08/05 22:21:52,
You,,Ya envié la información,,chat,2026/08/05 22:23:42,
You,,Esperemos a ver qué resuelven,,chat,2026/08/05 22:23:58,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,Me llamas cualquier cosa porfa,chat,2026/08/05 22:26:02,
You,,Ya se quedan allá está noche,,chat,2026/08/05 22:26:05,
Mde Htl The Somos Alexandra,@AlexandraCorreaFranco,,[Audio/Voice],ptt,2026/08/05 22:26:16,
You,,Sii gracias 🧚‍♀️✨,,chat,2026/08/05 22:26:28,
