Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Hola Buenas tardes,,chat,2026/07/14 17:38:11,
Mde IPS Electrodiagnóstico clínica las las vegas,+57 305 3354334,,"Gracias por tu mensaje. En este momento no podemos responder, nuestro horario de atención es de Lunes a Viernes de 7 am a 4:30 pm
Puedes agendar tu cita en el siguiente link
https://www.doctoranytime.co/d/fisioterapeuta/hector-hernando-garcia-nieva-2",chat,2026/07/14 17:38:15,
Mde IPS Electrodiagnóstico clínica las las vegas,+57 305 3354334,,CertificacionBancolombia.pdf,document,2026/07/16 13:13:03,
You,,Holaa gracias,,chat,2026/07/16 13:13:15,
Mde IPS Electrodiagnóstico clínica las las vegas,+57 305 3354334,,"Sra Yenny buenas tardes como estas, por aca comparto certificado que pena la demora",chat,2026/07/16 13:13:24,
Mde IPS Electrodiagnóstico clínica las las vegas,+57 305 3354334,,para abrir el archivo 12124728,chat,2026/07/16 13:13:33,
You,,graciasss,,chat,2026/07/16 13:13:44,
You,,Buenos días 🌞,,chat,2026/07/18 08:56:51,
You,,tenemos una cita para el Sr,,chat,2026/07/18 08:56:58,
You,,[Photo],,image,2026/07/18 08:57:30,
You,,solo para preguntar es posible tenerla más tarde tipo 10 am?,,chat,2026/07/18 08:57:42,
Mde IPS Electrodiagnóstico clínica las las vegas,+57 305 3354334,,"Gracias por tu mensaje. En este momento no podemos responder, nuestro horario de atención es de Lunes a Viernes de 7 am a 4:30 pm
Puedes agendar tu cita en el siguiente link
https://www.doctoranytime.co/d/fisioterapeuta/hector-hernando-garcia-nieva-2",chat,2026/07/18 09:08:16,
Mde IPS Electrodiagnóstico clínica las las vegas,+57 305 3354334,,FVEE18658.pdf,document,2026/07/21 09:18:59,
Mde IPS Electrodiagnóstico clínica las las vegas,+57 305 3354334,,Buenos días doña Yenny comparto factura de servicio,chat,2026/07/21 09:20:01,
You,,Buenos días 🌞 gracias,,chat,2026/07/21 09:20:11,
