Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Buenos días,,chat,2026/08/01 08:21:42,
You,,"Ecografía de tiroides y paratiroides
Radiografía de tórax
Resonancia Magnetica simple de Abdomen
Resonancia Magnetica simple de Pélvis",,chat,2026/08/01 08:21:43,
Mde IVS PARTICULARES Reservas,+57 300 2884609,,"¡Bienvenido/a a IVS - Imágenes de Vida y Salud! 👋

Este canal es exclusivo para pacientes Particulares.
📞 Si requiere atención de EPS, comuníquese al: 3005978570.

Para continuar, necesitamos su autorización para tratar sus datos personales conforme a nuestra política de privacidad 🔒

🔗 https://www.imagenesdevidaysalud.com/wp-content/uploads/2023/03/POLI%CC%81TICA-DE-PROTECCION-DE-DATOS-PERSONALES-V2.pdf

¿Autoriza el uso de sus datos?",chat,2026/08/01 08:21:45,
Mde IVS PARTICULARES Reservas,+57 300 2884609,,"¡Bienvenido/a a IVS - Imágenes de Vida y Salud! 👋

Este canal es exclusivo para pacientes Particulares.
📞 Si requiere atención de EPS, comuníquese al: 3005978570.

Para continuar, necesitamos su autorización para tratar sus datos personales conforme a nuestra política de privacidad 🔒

🔗 https://www.imagenesdevidaysalud.com/wp-content/uploads/2023/03/POLI%CC%81TICA-DE-PROTECCION-DE-DATOS-PERSONALES-V2.pdf

¿Autoriza el uso de sus datos?",chat,2026/08/01 08:21:46,
Mde IVS PARTICULARES Reservas,+57 300 2884609,,"Gracias 
Ahora, por favor ingrese su número de documento (sin puntos ni espacios)🪪",chat,2026/08/01 08:22:09,
You,,NX4L48FC2,,chat,2026/08/01 08:22:50,
Mde IVS PARTICULARES Reservas,+57 300 2884609,,"👋 Para continuar, por favor escribe tu nombre completo (nombre y apellido)",chat,2026/08/01 08:22:52,
You,,"Nombre	Netishkoemar
Apellido	Lila",,chat,2026/08/01 08:23:07,
Mde IVS PARTICULARES Reservas,+57 300 2884609,,¿Cuenta con orden del examen que desea realizarse?,chat,2026/08/01 08:23:09,
Mde IVS PARTICULARES Reservas,+57 300 2884609,,"Por favor adjunte la orden del examen que desea realizarse. 📎

Puede enviarla como foto o archivo PDF.",chat,2026/08/01 08:23:14,
You,,Imágenes y procedimientos 25-07-26.pdf,,document,2026/08/01 08:23:51,
