Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Buenos días 🌞,,chat,2026/07/21 10:41:58,
You,,Para solicitar una cita con Oftalmologia,,chat,2026/07/21 10:42:41,
You,,[This message was deleted],,revoked,2026/07/21 10:42:43,
Mde Mas Vision Oftalmólogo Torre Medica Oviedo,+57 317 4019433,,Hola,chat,2026/07/21 14:57:00,
Mde Mas Vision Oftalmólogo Torre Medica Oviedo,+57 317 4019433,,Cómo está,chat,2026/07/21 14:57:13,
Mde Mas Vision Oftalmólogo Torre Medica Oviedo,+57 317 4019433,,Para que fecha,chat,2026/07/21 14:57:22,
Mde Mas Vision Oftalmólogo Torre Medica Oviedo,+57 317 4019433,,Y en qué sede,chat,2026/07/21 14:57:25,
Mde Mas Vision Oftalmólogo Torre Medica Oviedo,+57 317 4019433,,Oviedo o centro,chat,2026/07/21 14:57:27,
You,,"Hola, Oviedo, qué costo tiene la consulta?, envio audio",,chat,2026/07/21 15:02:39,
You,,[Audio/Voice],,ptt,2026/07/21 15:03:18,
Mde Mas Vision Oftalmólogo Torre Medica Oviedo,+57 317 4019433,,Claro que si,chat,2026/07/21 15:05:45,
Mde Mas Vision Oftalmólogo Torre Medica Oviedo,+57 317 4019433,,[Contact] Cami - 573162243367,vcard,2026/07/21 15:05:58,
Mde Mas Vision Oftalmólogo Torre Medica Oviedo,+57 317 4019433,,Comunícate con Camila quien es la encargada de alianzas y convenios,chat,2026/07/21 15:06:21,
