Username,Phone Number,Sent Message,Received Message,Message Type,Message Time,Attachment Link
You,,Muy buenos días 🌞,,chat,2026/07/14 10:44:25,
You,,por favor me ayudas con la factura de los servicios de la Sra Zulaica,,chat,2026/07/14 10:44:37,
You,,"Esofagoduoendoscopia
Biopsia para la endoscopia",,chat,2026/07/14 10:44:43,
Mde Unidad Gastroenterologica Clínica Las Américas Clínica Las Américas,+57 314 6237716,,Hola,chat,2026/07/14 13:50:14,
Mde Unidad Gastroenterologica Clínica Las Américas Clínica Las Américas,+57 314 6237716,,Claro ques si,chat,2026/07/14 13:50:20,
Mde Unidad Gastroenterologica Clínica Las Américas Clínica Las Américas,+57 314 6237716,,Ya se hizo la solicitud al area encargada,chat,2026/07/14 13:50:29,
You,,gracias,,chat,2026/07/14 14:05:06,
Mde Unidad Gastroenterologica Clínica Las Américas Clínica Las Américas,+57 314 6237716,,20260714141658_FEUG7819 (1).pdf,document,2026/07/14 14:17:48,
You,,gracias!!,,chat,2026/07/14 14:22:26,
Mde Unidad Gastroenterologica Clínica Las Américas Clínica Las Américas,+57 314 6237716,,Con gusto,chat,2026/07/14 16:06:54,
